userName,score,at,content
Pengguna Google,1,2025-03-21 15:44:50,"Kenapa akun saya hilang ya pas login kembali, padahal ada saldonya. Malah terdeteksi sebagai pengguna baru. Ini aplikasi semakin tidak jelas & sorry bintang 1 sudah layak karena beberapa kali mengecewakan"
Pengguna Google,5,2025-03-21 15:36:33,"Transaksi mudah, pembayaran bisa terhubung ke akun Gopay"
Pengguna Google,1,2025-03-21 15:35:41,KEMBALIKAN FITUR HAPUS CHAT DENGAN TOKO PENJUAL !! jadi banyak chat sampah kalau tidk ada fitur ini 😡
Pengguna Google,5,2025-03-21 15:32:33,"dengan adanya lapak Tokopedia , jadi mudah dan gampang untuk belanja . maju terus Tokopedia"
Pengguna Google,2,2025-03-21 15:30:54,"Walaupun banyak promo, tapi pengirimannya paling lambat dibanding shopee dan lazada 👎🏻"
Pengguna Google,5,2025-03-21 15:28:22,contact customer care kemana ya? mau ubah email karena yahoo sudh tidak bisa di akses
Pengguna Google,1,2025-03-21 15:25:38,"payment via qris sukses,tapi di daftar pesanan pada aplikasi Tokopedia tidak muncul. uang tak kunjung refund pula. pengajuan keluhan di CS juga tidak di tanggapi sampai skrng."
Pengguna Google,1,2025-03-21 15:03:51,"sengaja instal krn ada promo untuk pengguna baru, sekalinya instal lngsung menyesal. semua penjual di tokopedia gtw ada penyakit apa sama semua lama kirim barang. ckckckckc seandainya barang yg dipke ubtuk org2 sakit kritis. orgnya sdh meninggal barangnya blm di packing penjual ampun. kalah jauh sama orens, vreeT"
Pengguna Google,1,2025-03-21 14:58:28,"baru coba mauu co ehh malah voucher nya ilang dan tiba tiba ada ganggua dirumah toped, cs bales lama, pokoknya kecewa beratt, lain kali diperbaiki dong jujur sedih dan kecewa banget padahaal ak pengguna baru, kenapa sih hal sekecil ini aja harus bohong?"
Pengguna Google,1,2025-03-21 14:57:24,"pesanan di proses telat estimasi datang 19-21 tapi masih menunggu kurir (sudah melewati estimasi) padahal deket, pelayan seller buruk dan tidak profesional seperti tidak niat jualan, voucher pengguna baru tidak kembali."
Pengguna Google,5,2025-03-21 14:46:56,mudahkan hidup tanpa ribet
Pengguna Google,5,2025-03-21 14:40:13,bagus tapi blum ngobak Sampek barang nya
Pengguna Google,1,2025-03-21 14:38:49,"Seller sangat bagus eh rekomendasi kurir sampah banget, harusnya kurir Anteraja jangan masuk di Tokped bikin jatuh rating saja, banyak kok kurir yang punya pelayanan baik ada JNE, JNT dll, masak udah 10 hari gak ada update pengiriman, saran aja kalo mau rating baik penentunya ada kurir yang tersedia di tokped, semoga gak ada lagi Anteraja di Tokopedia"
Pengguna Google,2,2025-03-21 14:35:58,lagi belanja tiba² dibatalkan sistem padahal gada masalah
Pengguna Google,3,2025-03-21 14:13:19,"Banyak sih varian barangnya, tapi metode pembayaran untuk COD gak semua toko bisa dan juga pemetaan posisi kurir kadang kurang jelas"
Pengguna Google,3,2025-03-21 13:48:30,kolo minta update terus maaf saya auto delete dari Hp saya g butuh butuh banget app belanja belanja.. saya turunan jadi bintang 3
Pengguna Google,1,2025-03-21 13:30:13,pesan barang tanggal 9 Maret 2025. estimasi sampai ditanggal 13 Maret 2025. sudah hubungi kurirnya berkali2 tidak ada tindaklanjut. Komplain CS Tokopedia ditanggal 16 Maret 2025 karena sudah lewat estimasi. dibales ditanggal 17 Maret 2025 disuruh nunggu 72 jam. ditanggal 20 Maret 2025 tidak direspon. ditanggal 21 Maret 2025 disuruh nunggu lagi sampe tanggal 23 Maret 2025. J&T sama Tokopedia sama2 ga ada otak. Ngulur waktu biar case closed by system. Pikir dua kali pakai e-commerce ini.
Pengguna Google,1,2025-03-21 13:27:56,"saldo saya hilang. saya sudah melakukan pembayaran tapi tidak ada transaksi ditemukan. saya masih memiliki bukti pembayaran pada hari ini. 21 maret 2025. tolong kembalikan saldo saya,saya akan menghapus komentar ini jika pihak tokopedia bersedia menerima komplain saya,saya membawa bukti."
Pengguna Google,5,2025-03-21 13:20:50,suka banget aplikasi iniii
Pengguna Google,5,2025-03-21 13:13:19,Akhirnya bisa juga bayar OVO dan Gopay. saya kasih bintang 5
Pengguna Google,1,2025-03-21 12:27:10,Sempat donwload apak ini akhirnya di uninstal gara2 apk engga bisa di buka. Sekarang download lagi malah masih sama kayak sebelumnya dan mulai ngelag lagi
Pengguna Google,1,2025-03-21 12:17:24,pertama kali pesen langsung di biki kecewa . seharus nya kalu emang ngga bisa kirim instan .ngga usah sosoan di bikin bisa .udan 3 hari ngga dateng .Gosen² kulir nya
Pengguna Google,1,2025-03-21 12:17:06,Makin lama makin jelek... Makin banyak toko yang pelayanan asal-asalan... Udah stop aja pake tokopedia
Pengguna Google,1,2025-03-21 11:45:30,"fitur video review barang nya error ya gaes, udh foto produk, tulis review bagus, pas udh video barang 30 detik jadi error ga bs kmn2"
Pengguna Google,5,2025-03-21 11:43:56,barang nyaa murmere kwalitas jga bagusss
Pengguna Google,1,2025-03-21 10:47:37,"saya ingin membatalkan pesanan karena alamat salah namun tidak diterima oleh penjual, dan bagaimana nasib uang saya, nominalnya 3juta"
Pengguna Google,5,2025-03-21 10:27:00,oke toko pedia mudah dan banyak cara bayarnya terimakasih toko pedia
Pengguna Google,5,2025-03-21 10:20:52,"baru nyoba, ternyata bagus jg blanja di toped"
Pengguna Google,5,2025-03-21 10:15:32,banyak gratis ongkir daripada toko oren
Pengguna Google,1,2025-03-21 09:46:07,"serepot ini ya belanja ditokped(?)mau order produk lewat latop gabisa, disuruh beli ke mobile app biar dpt diskon, pas udh diinstall regist acc, mau belaja malah kendala transaksi, bad experience bgt, padahal payment metode udh qris , pake payment metode lain juga gabisa mau order dr sore sampe ketemu besok paginya masih gabisa, DAN LAGIII CS tokped ASTAGA lemott gila!"
Pengguna Google,1,2025-03-21 09:39:29,"JOYKO OFFICIAL STORE, saya tanya terkait status paket disuruh nanya ke cs tokped, eh ternyata memang salah dr tokonya barang gak pernah dikirim dengan alasan akhir stok kosong, kalau memang stok kosong kenapa gak dibatalin saja, langganan toko itu jadi malas, pelayanan sangat tidak profesional"
Pengguna Google,1,2025-03-21 09:11:32,masak cuma mau ngirim gambar untuk review ulasan harus mikrofon dinyalain? mau maling data pelanggan ya?
Pengguna Google,1,2025-03-21 09:09:13,"kurir bermasalah, estimasi kelewatan gak guna ni aplikasi"
Pengguna Google,5,2025-03-21 09:07:57,mudah untuk bertransaksi ok
Pengguna Google,1,2025-03-21 08:18:09,aplikasi jelek bosok waktu anatar paket ga sesuai estimasi paket gua blom datang dateng dri 12 maret cok pkok nya jangan pake aplikasi ini pake Shopee wae
Pengguna Google,1,2025-03-21 08:10:55,alah mending tutup aja skalian nih apk. udh di co payment kok ilang dari riwayat transaksi
Pengguna Google,1,2025-03-21 07:19:33,"parah banget tokped pantesan kalah saing dg toko Oren, pembelian tanggal 17 Maret 2025, sampai 21 Maret 2025. masih di proses minta pengembalian dana ( return) nunggu seminggu baru bisa balik duit nya, admin pada ngapain aja kerjanya. lelet , lllemoddd"
Pengguna Google,1,2025-03-21 07:04:02,"Aplikasi yg sekarang sangat jelek, tidak simple, banyak yg bug deuh,,,,"
Pengguna Google,1,2025-03-21 06:44:12,ribet bayar duluan tak bayar cod nya uninstal stop aja
Pengguna Google,5,2025-03-21 06:30:52,pengembalian dari gagal transaksi pembelian dari penjual.. aman... sekedar masukan untuk gagal transaksi ini ... Margin waktunya jangan terlalu lama... biar bisa cepat cari yg lain. trimakasih
Pengguna Google,4,2025-03-21 06:24:37,"Terima - kasih....., jaga account pelanggan dari peretas.."
Pengguna Google,2,2025-03-21 06:16:25,"Maaf ratingnya saya ubah, tolonglah toped yg benar klo kasih kebijakan. pesanan saya 3 hari belum dikirim sama panjual, trs saya chat tdk dibalas. kemudian saya cancel kenapa dana ditahan alasan menunggu persetujuan penjual (padahal penjual tdk aktif). bikin kesel saja, ini mirip sama si merah yg sdh bangkrut (karena kebijakan yg merugikan pembeli)"
Pengguna Google,5,2025-03-21 06:11:26,luar biasa barangvreal.pict ..pembayaran mudah
Pengguna Google,1,2025-03-21 05:52:45,pembalian dg tranfer sdh hampir 2 Minggu barang gk smpe smpe... dsrh menunggu... menunggu dan menunggu
Pengguna Google,5,2025-03-21 05:40:57,"Sering bikin customer keselll, masak dapat voucher giliran di klik bayar sekarang muncul tulisan voucher tidak dapat digunakan‼️ lha niat ngasih voucher apa nggak, bikin keselll ibu² aja hufft"
Pengguna Google,3,2025-03-21 05:22:39,jangan pelit pelit voucer gratis ongkir dong
Pengguna Google,2,2025-03-21 05:01:51,"upgrade lagi dong sistem pembatalan otomatis nya jangan kelamaan, udah gitu harus nunggu persetujuan penjual. kalo barang yang belum di proses langsung batal aja gausah nunggu persetujuan, udah mah toko nya slow respon, 5hari baru dibales bilang akan di proses, padahal udah dibatalin dari hari ke 3 karna gak di proses proses. batal otomatis nunggu 9hari dulu. kelamaan, orang yang butuh cepet jadi susah, mau pesen di yang lain takut yang ini dikirim, males kalo harus pengembalian barang"
Pengguna Google,2,2025-03-21 04:58:24,"pesanan sedang di proses penjual, tapi tokonya ga aktif. di chat ga ngebales2 . minta pengajuan pembatalan nunggu acc toko, ada pembatalan otomatis harus nunggu lebih dari seminggu, kelamaan. mana barang mau di pake. tolong di perbaiki n di permudah sistem nya min, biar kita sama2 enak"
Pengguna Google,5,2025-03-21 04:54:51,"TOLONG HAPUS KURRIR JNE !! sangat mengecewakan , itu pun kalau mau Tokopedia Ramai kembali Pembeli, Sangat Merusak Kurrir JNE parah sampai 10 hari belum diterima sudah sering lebih dari 100 kali , Males Lihar JNE di tokopedia"
Pengguna Google,3,2025-03-21 04:50:11,Setiap pesanan yang dibatalkan sama aplikasi ataupun sama penjual/pembeli selalu saja pengembalian dana terpotong biaya aplikasi.... klo setiap beli selalu dibatalkan bisa2 nombok terus dong 👎🏼
Pengguna Google,1,2025-03-21 04:48:24,"beli barang yang cuma 4000perak tapi ongkirnya lebih mahal 13000 masa lebih mahal ongkos kirimnya ,dan katanya bebas ongkir pengiriman barang ternyata bayar ongkir juga"
Pengguna Google,1,2025-03-21 04:46:03,penjual tidak mau melayani pembelian gimana sih kok tidak bertanggung jawab udah dibayar udah ada seminggu tapi belum dikirim-kirim paketnya mending beli di shopee apa di Lazada penjualnya kerja daripada di sini
Pengguna Google,5,2025-03-21 03:40:24,sangat membantu dalam proses belanja
Pengguna Google,1,2025-03-21 03:06:07,paling GK suka sama apl ini apl nya pelit jarang ngadain diskon Kya apl lain pengembalian barang ongkir di tanggung sendiri klaim gratis ongkir pun ribet harus pke KTP dan lain sebagainya udah mau tutup malah gabung sama tiktok 🤦🤦🤦 tiktok mau ajh di ajak kerja sama sama apl yg GK laku ini
Pengguna Google,1,2025-03-21 02:57:54,"Pengirimana kurir yg rekomendasi dari tokopedia cacat banget ,, notif status pengirimanya gak jelas ..Mohon di perbaiki lagi tolonglah !!!! Aplikasi CACAT !!!!!"
Pengguna Google,1,2025-03-21 02:16:54,aplikasi apa ini..saya tertipu tapi tidak di respon sama sekalo
Pengguna Google,5,2025-03-21 01:37:25,senang bsa berbelanja ke toko pedia
Pengguna Google,1,2025-03-21 01:30:08,aktipkan penghapusan chat inbok risi banyak banget
Pengguna Google,5,2025-03-21 00:50:08,toped..top dan tepat aplikasi jual beli online yang mudah dimegerti .
Pengguna Google,5,2025-03-21 00:45:27,aplikasi ini sangat mendukung penggunaa untuk membeli barang online kurang nya hanya di ongkir bisa malah bisa juga murah
Pengguna Google,4,2025-03-21 00:45:18,Untuk Tokopedia tolong barang harus lengkap agar pelanggan tidak kecewa dan ada gratis ongkir dong kayak toko online lainnya tolong di perbaiki aplikasi nya dan ada update dan ada maps lacak paket dan foto bukti barang sudah sampai di alamat customer
Pengguna Google,2,2025-03-21 00:38:08,Makin kesini tokped makin pelit Ongkir.. seharusnya bersaing donk.. jd lebih baik dgn aplikasi lain.. yg bny gratis ongkirnya & banyak bonusnya
Pengguna Google,5,2025-03-21 00:33:13,Akhirnya setelah sebulan lebih pembayaran via gopaylater di nonaktifkan akhirnya bisa digunakan kembali..
Pengguna Google,1,2025-03-21 00:17:00,"payah harus update kalo mau Makai apps nya , buat apa coba nge update cuman makan data doang gak ada changelog nya pula"
Pengguna Google,1,2025-03-21 00:13:46,"Beli paket data di Tokped, laporan berhasil, tp kuota ga masuk2. Hubungi CS provider, bilangnya pemeliharaan jaringan. Udah lebih dari 1 jam, kuotanya ga masuk2. parah. CS tokpednya juga lbh parah. bls lama."
Pengguna Google,2,2025-03-21 00:00:12,asli ini parah banget buat upload video aja susah nya setengah mati parah banget gak kayak di sebelah cepet banget ini lemot parah
Pengguna Google,1,2025-03-20 23:50:57,perbaikan terus nggk beres beres ya mau cekout susah nya alesan perbaikan udah lama banget perasaan
Pengguna Google,5,2025-03-20 23:32:54,senang dgn Tokopedia karena bisa byr utk tagihan macam2. 👍
Pengguna Google,1,2025-03-20 23:28:27,"tolong kembalikan saldo dana saya, saya tidak ada belanja kenapa saldo saya hilang"
Pengguna Google,4,2025-03-20 23:22:17,dicoba kebenaran nya
Pengguna Google,1,2025-03-20 23:14:43,"pantes kalian hampir bangkrut, cara kalian menangani kasus barang hilang, yang sebenernya simple kalian buat ribet! Masa dalam satu bulan satu barang yang hilang sama kurir gak ada pertanggung jawabanya? minta bukti resi pengirimlah, padahalkan gak mungkin bisa di pick up sama kurir kalo data resinya beda! padahal kalian tinggal cek di mana terakhir barangnya hilang sama siapa hilangnya, terus tindak! belanja online itu untuk mempermudah dan efisiensi waktu, tapi yang ada ini malah ribetnya!"
Pengguna Google,5,2025-03-20 22:53:18,"mantab ,utk keamana pembeli ,banyak diskon ongkir tinggal komplitin aja barang2 nya"
Pengguna Google,5,2025-03-20 22:46:34,sangat membantu & menyenangkan 🥳🙏
Pengguna Google,1,2025-03-20 22:38:27,pesen minyak yg datang cashing HP🤣🤣🤣🤣pada saat mau return barang udh sampai di titik drop off eh no Booking ga kluar2. ngerjain org ga sih....
Pengguna Google,4,2025-03-20 22:25:37,saya mau gabung tokped beta
Pengguna Google,1,2025-03-20 22:20:35,Kurir rekomendasi parah...
Pengguna Google,1,2025-03-20 22:12:21,"nambah tahun nambah menurun pelayanannya, untuk pengajuan komplain pengembalian barang yang cacat produksi tidak bisa di terima"
Pengguna Google,1,2025-03-20 22:10:23,"saldo aplikasi dana saya di bajak oleh Tokopedia,padahal saya tidak melakukan transaksi apapun,tiba tiba ada notifikasi pembayaran ke Tokopedia,,, sangat tidak jelas Tokopedia"
Pengguna Google,5,2025-03-20 21:48:58,TOKOPEDIA MEMANG TOP
Pengguna Google,5,2025-03-20 21:19:07,makasih toko pedia sangat memuaskan
Pengguna Google,1,2025-03-20 21:15:51,"customer service lama, CS di media sosial juga tidak bisa di andalkan, saya sangat kecewa"
Pengguna Google,1,2025-03-20 20:58:26,"Pelayanan tokopedia care makin jelek, lambat dan terlewat jauh dari janji2 admin tokopedia care, hati2 aja belanja disini"
Pengguna Google,1,2025-03-20 20:47:30,fitur elit voucher sulit taik
Pengguna Google,1,2025-03-20 20:21:43,"taun kapan ngga tau saya pake tokopedi udah lama jadi lupa. tapi saldo di dana punya saya di kuras habis sama tokopedia. padahal saya sudah lama tidak pakai tokopedia, tapi tau tau ada bukti transaksi ke tokopedia giliran di tanyain ke calsenternya malah planga plongo! mau ga mau rela ga rela jadi pasrah, ini sangat mengecewakan!"
Pengguna Google,1,2025-03-20 20:17:51,"jangka waktu pengiriman yg diberikan kpd penjual terlalu lama, jd klo dpt penjual yg gak responsif sangat merugikan pembeli"
Pengguna Google,2,2025-03-20 20:11:31,"Sebagai saran, mohon lakukan audit terhadap pihak ekspedisi atau jasa pengiriman barang yang bermitra dengan Tokopedia. Pengiriman paketnya sangat lama padahal lokasi toko dan lokasi tujuan paket berada di kota yang sama.. terimakasih"
Pengguna Google,5,2025-03-20 20:11:09,puas dengan pelayanan diskon ongkir nya
Pengguna Google,1,2025-03-20 19:54:01,pesan pesanan cod di batalkan sistem??
Pengguna Google,1,2025-03-20 19:31:43,turun bintang krn pake kurir Anter Aja
Pengguna Google,1,2025-03-20 19:04:17,download nya sangat lama
Pengguna Google,5,2025-03-20 18:39:54,"Untuk tim Tokopedia, tolong percepat klaim. Padahal dari pihak seller juga mengetahui bahwa terjadi kehilangan paket oleh kurir. Tapi ternyata proses pengaduan ga cuma dilakukan seller tapi juga pembelinya. Dan klaim 3 hari belum selesai"
Pengguna Google,1,2025-03-20 18:23:33,"punya pengalaman buruk belanja ditokopedia ketika barang yang diterima tidak sesuai kemudian diharuskan menjawab respon tapi tidak ada kolom untuk menjawab, pilihan pickup tidak berfungsi parah banget lah pengalaman buruk belanja online"
Pengguna Google,2,2025-03-20 18:04:58,lama2 seller di toked slowresp bgt.. gk cuma 1 seller yg suka nggantungin pesanan
Pengguna Google,1,2025-03-20 17:37:50,"cs tidak responsif, saat mengajukan pengembalian barang resi tidak segera keluar, toko penjual yang jelas jelas penipuan dibiarkan tidak diblokir, pengajuan barang dipersulit"
Pengguna Google,5,2025-03-20 17:14:10,respon sangat cepat😘 memudahkan kita untuk belanja
Pengguna Google,1,2025-03-20 17:09:12,"pengiriman terlalu lama,kirim satu kota aja butuh satu hari lebih,saya mau pindah ketoko sebelah aja"
Pengguna Google,1,2025-03-20 17:06:14,"Sudah update malah tampilannya bikin bingung. Pemilik toko masih banyak yg reseller dari apk lain, pengiriman juga dari apk lain, & alamat toko juga banyak yg gak sesuai. Batal otomatis kelamaan harusnya cukup 2 hari saja."
Pengguna Google,1,2025-03-20 17:05:36,pesan barang 3 pcs dan di kembalikan barang nya tapi yg di balikkan 1 pcs saja.
Pengguna Google,1,2025-03-20 16:43:47,"aku udah pesan dari lama tp gaada info apapun kyk paket ny sampe mn mn , tiba"" di retur/pesanan di batalkan"
Pengguna Google,2,2025-03-20 16:43:00,"Tokopedia lebih baik menghapus durasi pengiriman INSTANT (3 JAM) dan SAME DAY (8 JAM), karena sampainya paling cepat hari berikutnya... padahal saya pesan masih di bawah jam 03 (batas waktu untuk pengiriman yang dikirim pada hari yang sama). kemana ketepatan waktu TOKOPEDIA yang dulu?"
Pengguna Google,2,2025-03-20 16:42:35,pembelian pakai kurir instant durasi proses batal otomatis lamaaaaaa pake banget. merugikan pembeli. gak ada solusi di tokopedia care
Pengguna Google,1,2025-03-20 16:39:29,"aplikasi makin kesini makin ampas. per bulan februari & maret 2025 saya sudah mengalami 5 kasus dimana barang ga di kirim2 dari seller, chat seller di abaikan, di complaint ga bisa, chat cs ga ada guna, pesanan juga ga bisa di cencel yg seakan2 sekarang itu ga ada lagi yg namanya perlindungan customer di aplikasi ini. jamin yakin makin lama bisa tutup di aplikasi klw ga di benahi. ampas lah."
Pengguna Google,2,2025-03-20 16:22:37,barang yg bs cod sangat sedikit gk kaya yg laen
Pengguna Google,5,2025-03-20 16:17:37,sy kasih bintang 5 kl gak bagus sy hapus lg
Pengguna Google,4,2025-03-20 16:14:53,"Aplikasi sudah terupdate. Setelah update banyak item2 yang dulu menarik sperti games, pecah telur, misi² simple yg kesemuanya bisa nambah poin udah gak ada 😁 hadeuh². Kemudian untuk info detail Seller dan terakhir online seller udah gak bisa diliat lagi, Diskusi ditiadakan, padahal info² tsb sangat membantu buyers buat nambah tingkat kepercayaan pada seller utk memutuskan layak enggaknya buat order di toko tsb. Mohon dijadikan kajian ulang lagi sampaikan ke pihak terkait, demikian."
Pengguna Google,1,2025-03-20 16:07:00,knp saldo saya di sedot toko pedia
Pengguna Google,1,2025-03-20 15:58:28,"instal apk, CO pertama di cancel sistem, CO kedua sukses walaupun sampainya telat beberapa hari, CO ketiga paket di return sepihak oleh pihak kurir dg alasan sudah melewati waktu, CO keempat tgl 13 estimasi tgl 18, sampai hari ini belum sampai"
Pengguna Google,1,2025-03-20 15:56:07,saya pake pengiriman instant 3 jam tpi belum sampai gajelas
Pengguna Google,1,2025-03-20 15:50:44,pengembalian dananya lama sampe sekarang saldo belum masuk
Pengguna Google,2,2025-03-20 15:32:54,perbaikin lah bayar lancar tpi paylater sudah di pakai buat apa ada limit sampai 2 jt tpi gk bisa di pakai
Pengguna Google,5,2025-03-20 15:23:57,"Terima kasih, orang baik. 🙏"
Pengguna Google,4,2025-03-20 15:23:27,promonya pelit sekarang
Pengguna Google,5,2025-03-20 15:12:19,"Setelah di-update aplikasinya jadi tambah bagus, dan diskon harga nya lumayan buat hemat pengeluaran 🤗😍"
Pengguna Google,1,2025-03-20 15:00:39,"entah ada apa denganmu.... terlalu bela seller.... jika seller lama respond kasih peringatan donk, jika pembatalan sudah lebih dari 24 jam ga ada respond kasih sanksi donk. Sudah seller tidak jawab, pembetalan otomatis terlalu lama, malah kadang diperpanjang. Uang saya nyantol terlalu lama. tau gitu kan bisa pindah toko agar segera dapat barang... apalagi ini barangnya obat asma yang sangat penting dan mendesak... toped JANCOX"
Pengguna Google,3,2025-03-20 14:54:30,Mohon kepada Tokopedia memperhatikan para seller yang belakangan ini banyak yang nakal. barang yang dikirim tidak sesuai dengan iklan.. dan kejadian nya sudah berulang kali. opsi yang ditawarkan oleh Tokopedia untuk retur barang dan refund juga kurang berpihak kepada konsumen
Pengguna Google,5,2025-03-20 14:53:43,sangat membantu dalam pembelanjaan
Pengguna Google,1,2025-03-20 14:47:40,"bayar tagihan listrik proses2 tok, pdhal pake apk lain lo langsung sukses bnyk seller yg ud co, ud bayar, tnyta gk dkirim2 smpe gagal duh rugi biaya penanganan 1rb bolak balik"
Pengguna Google,1,2025-03-20 14:32:41,keamanan Tokopedia sangat lemah orang penguna gopay later akun mudah di bobol si hacker salah gunakan smaa orang lain untuk semua orang yg mempunyai akun gopay later segera melakukan penutupan akun gopay later atau menonton aktifkan nya semoga ja Tidak ada lagi yg jadi korban seperti saya
Pengguna Google,1,2025-03-20 14:21:55,saya di tipu belanja di Tokopedia
Pengguna Google,3,2025-03-20 13:45:41,jujur aja saya kesel banget karena saya penggunaan baru toko pedia dan saya mau membeli barang dan ingin membayar nya lewat gopay tapi kan saya pengguna baru jadi saya harus menghubungkan akun gopay saya dengan Tokopedia nah pas di verifikasi kode saya gabisa karena kode nya ga di kirim kirim lewat WA maupun SMS jadi nya saya bingung ini ada masalah apa gimana tapi ga ada pemberitahuan kalo apk nya lagi ada masalah. mohon di perbaiki pihak Tokopedia.
Pengguna Google,1,2025-03-20 13:24:13,"Banyak penjual tidak aktip, awalnya aktip status penjual saat cekout taunya penjual tdk aktip transaksi langsung dalam proses, pembatalan automatis waktu kelamaan 18 pembayaran tanggal 27 automatis pembatalan. payah nih tokped, meskinya klu penjual tdk aktip automatis saja diaplikasinya tdk bisa transaksi. jadi ngehambat dana nih"
Pengguna Google,5,2025-03-20 13:17:08,bagus sangat terbantu
Pengguna Google,5,2025-03-20 13:07:45,saya menyukai aplikasi ini banyak diskon nya
Pengguna Google,5,2025-03-20 13:03:58,mudah cepat dan bagus
Pengguna Google,3,2025-03-20 12:55:59,"Perbanyak program diskon untuk kargo, masak barang berat disuruh pake reguler. Mahal diongkir jadi jutaan ongkir doang. Coba kerja sama dengan karyati dan nasru itu mereka ongkir kargo sangat murah."
Pengguna Google,1,2025-03-20 12:55:18,iklan sangat menggau ketika lagi main hp
Pengguna Google,1,2025-03-20 12:49:04,"Ini tokopedia apa sih ,muter"" mulu lama amat gak langsung masuk"
Pengguna Google,5,2025-03-20 12:30:46,moga dapat harga yang selalu bersahabat
Pengguna Google,5,2025-03-20 12:17:06,dah bagus tapi informasi pengiriman aga kurang lengkap
Pengguna Google,5,2025-03-20 12:13:35,"sangat mudah, banyak diskon"
Pengguna Google,2,2025-03-20 11:52:47,"Saya pesan barang sekitar tanggal 16 Maret dan sudah saya bayar, saya chat penjual tapi sampai sekarang tanggal 20 tak ada jawaban, barang juga belum dikirim, saya sudah melakukan pembatalan pada tanggal 18 Maret, tapi tak ada respon dari penjual, dan sayangnya pembatalan otomatis dari tokped adalah tanggal 27 Maret, saya sangat kecewa dengan hal ini, kenapa pembatalan otomatis ini harus selama itu?"
Pengguna Google,4,2025-03-20 11:23:13,bisa membantu dan bisa bermanfaat
Pengguna Google,1,2025-03-20 10:42:23,parah u tokped...ngapain jual data email di darkweb...coba u semua liat google kalian trus liat dipenelusuran email di darkweb. email ku masuk kesana melalui tokped and mypertamina. kacau IT u
Pengguna Google,1,2025-03-20 10:38:00,VCR nya gak guna sampah semua
Pengguna Google,1,2025-03-20 10:05:02,"tolong hilangkan kerja sama dengan ekspedisi JNE, saya adalah pengguna setia tokopedia. sudah beberapa kali saya checkout di tokopedia jasa pengirimannya selalu di mix dan menyebabkan pengiriman semakin lama. paling lama itu ketika pengirim terakhir JNE. saya kecewa, sekarang beralih ke toko orange saja"
Pengguna Google,1,2025-03-20 09:35:26,"Ribet gak bisa cod gak seperti aplikasi sebelah,Pusing banget sumpah"
Pengguna Google,5,2025-03-20 09:30:51,"mantaapppppp sukses teruss,semoga semakin terbaik"
Pengguna Google,1,2025-03-20 09:13:07,"100% gratis ongkir apa,. susah parah"
Pengguna Google,5,2025-03-20 08:55:58,baru dinwlod tokopedia
Pengguna Google,2,2025-03-20 08:50:17,untuk pembayaran pbb yang 2025 kok belum update ya
Pengguna Google,1,2025-03-20 08:48:44,"padahal sudah kirim video unboxing, tapi retur barang bermasalah sangat ribet, memakan waktu berhari-hari. sudah jelas seller yang salah dengan mengirim barang yang tidak sesuai dengan judul dan deskripsi tapi prosesnya retur terlalu berbelit belit"
Pengguna Google,4,2025-03-20 08:41:29,Mudah pemakaian dan egk berat buka aplikasinya
